level,descriptor,target,gain_count,loss_or_neutral_count,gain_median,loss_or_neutral_median,gain_minus_loss_or_neutral_median,direction_consistent_with_rho
task,channel_count,delta_auc_pr,9,14,19.0,22.0,-3.0,True
task,channel_count,delta_auc_roc,7,16,19.0,19.0,0.0,False
task,mean_drift,delta_auc_pr,9,14,0.5167134629811371,0.3149103743189165,0.20180308866222058,True
task,mean_drift,delta_auc_roc,7,16,0.5025792107858925,0.36157624709363767,0.14100296369225485,True
task,variance_drift,delta_auc_pr,9,14,0.40560222723210193,0.2924396949335687,0.11316253229853324,True
task,variance_drift,delta_auc_roc,7,16,0.3999804327111715,0.2962241752820114,0.10375625742916011,True
task,low_frequency_energy_ratio_mean,delta_auc_pr,9,14,0.7410037350870291,0.6654042263805908,0.07559950870643828,True
task,low_frequency_energy_ratio_mean,delta_auc_roc,7,16,0.7346330495868759,0.6789114258214618,0.05572162376541412,True
task,spectral_entropy,delta_auc_pr,9,14,0.32462567727474806,0.3253473302982363,-0.0007216530234882557,False
task,spectral_entropy,delta_auc_roc,7,16,0.32462567727474806,0.3253473302982363,-0.0007216530234882557,True
task,periodicity_top3_ratio,delta_auc_pr,9,14,0.7027033166130183,0.5568489408647919,0.14585437574822646,True
task,periodicity_top3_ratio,delta_auc_roc,7,16,0.7009864039828573,0.6265767997990994,0.07440960418375786,True
task,correlation_drift,delta_auc_pr,9,14,2.809016764376697,4.0855654874491005,-1.2765487230724037,True
task,correlation_drift,delta_auc_roc,7,16,2.4442368362940545,3.329085078439446,-0.8848482421453916,True
task,trend_energy_over_raw,delta_auc_pr,9,14,0.6852749099795363,0.6869634013356062,-0.0016884913560698545,False
task,trend_energy_over_raw,delta_auc_roc,7,16,0.6855537051328627,0.6753139421852712,0.010239762947591546,True
task,residual_energy_over_raw,delta_auc_pr,9,14,0.21432585372882842,0.19711307905380088,0.017212774675027548,False
task,residual_energy_over_raw,delta_auc_roc,7,16,0.18547760496600085,0.21701175007440388,-0.03153414510840302,True
task,trend_over_residual_energy,delta_auc_pr,9,14,3.197350660488057,3.617010219267989,-0.41965955877993233,False
task,trend_over_residual_energy,delta_auc_roc,7,16,3.6961535343230727,3.1737475145427556,0.5224060197803171,True
paper,channel_count,delta_auc_pr,3,9,18.0,29.0,-11.0,True
paper,channel_count,delta_auc_roc,3,9,18.0,29.0,-11.0,True
paper,mean_drift,delta_auc_pr,3,9,0.5148281615555272,0.17931918301981672,0.3355089785357105,True
paper,mean_drift,delta_auc_roc,3,9,0.5148281615555272,0.17931918301981672,0.3355089785357105,True
paper,variance_drift,delta_auc_pr,3,9,0.40471300471850674,0.20098586624647444,0.2037271384720323,True
paper,variance_drift,delta_auc_roc,3,9,0.40471300471850674,0.20098586624647444,0.2037271384720323,True
paper,low_frequency_energy_ratio_mean,delta_auc_pr,3,9,0.5696242548472783,0.3779969585275875,0.19162729631969078,False
paper,low_frequency_energy_ratio_mean,delta_auc_roc,3,9,0.5696242548472783,0.3779969585275875,0.19162729631969078,True
paper,spectral_entropy,delta_auc_pr,3,9,0.3380366005379412,0.4840102071868186,-0.14597360664887737,False
paper,spectral_entropy,delta_auc_roc,3,9,0.3380366005379412,0.4840102071868186,-0.14597360664887737,False
paper,periodicity_top3_ratio,delta_auc_pr,3,9,0.49219868003848555,0.35381650909671003,0.13838217094177552,False
paper,periodicity_top3_ratio,delta_auc_roc,3,9,0.49219868003848555,0.35381650909671003,0.13838217094177552,True
paper,correlation_drift,delta_auc_pr,3,9,2.61556626688893,13.03987090380681,-10.42430463691788,True
paper,correlation_drift,delta_auc_roc,3,9,2.61556626688893,13.03987090380681,-10.42430463691788,True
paper,trend_energy_over_raw,delta_auc_pr,3,9,0.6917744632611891,0.42684069721900353,0.26493376604218555,False
paper,trend_energy_over_raw,delta_auc_roc,3,9,0.6917744632611891,0.42684069721900353,0.26493376604218555,True
paper,residual_energy_over_raw,delta_auc_pr,3,9,0.2039766855785282,0.3361447476660269,-0.13216806208749873,False
paper,residual_energy_over_raw,delta_auc_roc,3,9,0.2039766855785282,0.3361447476660269,-0.13216806208749873,True
paper,trend_over_residual_energy,delta_auc_pr,3,9,3.485266418738838,1.2698121871090087,2.2154542316298294,False
paper,trend_over_residual_energy,delta_auc_roc,3,9,3.485266418738838,1.2698121871090087,2.2154542316298294,True
