dataset_file,paper_dataset,variant,seed,fit_seconds,inference_seconds,parameters,epochs,affiliation_f,affiliation_precision,affiliation_recall,auc_pr,auc_roc,point_f1,point_precision,point_recall,r_auc_pr,r_auc_roc,vus_pr,vus_roc
CalIt2.csv,CalIt2,adaptive,20261,95.77910947799683,7.124796152114868,1439752,10,0.2701084439731448,0.4576856323107208,0.1915882180351065,0.07619760592485258,0.672228900417563,0.0,0.0,0.0,0.09067912000094,0.6369020224664006,0.08769281805165809,0.6272888472879199
CalIt2.csv,CalIt2,adaptive,20262,89.79639649391174,7.198840141296387,1439752,10,0.2701084439731448,0.4576856323107208,0.1915882180351065,0.07662408908254184,0.6720580792104265,0.0,0.0,0.0,0.0909428584347556,0.6408779360333274,0.087925905707375,0.6304170529434717
CalIt2.csv,CalIt2,adaptive,20263,88.28201079368591,6.8200461864471436,1439752,10,0.2688709964206841,0.4506567250299243,0.1915882180351065,0.0762551973770792,0.6728046311527268,0.0,0.0,0.0,0.09081191702306599,0.6363586423425995,0.08786532655739626,0.6269710197111033
CalIt2.csv,CalIt2,causal_catch,20261,96.57006597518921,6.317357540130615,1439752,10,0.2701084439731448,0.4576856323107208,0.1915882180351065,0.076405393561548,0.6724028849803871,0.0,0.0,0.0,0.09108211036291602,0.6445743897902199,0.08800273327516027,0.6310411759068203
CalIt2.csv,CalIt2,causal_catch,20262,73.19083905220032,5.790490388870239,1439752,10,0.2701084439731448,0.4576856323107208,0.1915882180351065,0.07656811147341991,0.6732063773250665,0.0,0.0,0.0,0.09115425337253931,0.6441155063814561,0.08805591221313751,0.631380814482655
CalIt2.csv,CalIt2,causal_catch,20263,73.49956250190735,5.714723825454712,1439752,10,0.2688709964206841,0.4506567250299243,0.1915882180351065,0.0760889553530993,0.6715709224345185,0.0,0.0,0.0,0.091046528673374,0.6434483013453363,0.08794364294557032,0.6299730418519149
CalIt2.csv,CalIt2,fixed,20261,95.29827046394348,7.006569147109985,1439752,10,0.2701084439731448,0.4576856323107208,0.1915882180351065,0.07659402959267764,0.6719220549158547,0.0,0.0,0.0,0.09097011823508674,0.6398011331607214,0.08791318569505463,0.629499906239214
CalIt2.csv,CalIt2,fixed,20262,85.77418112754822,6.02397608757019,1439752,10,0.2701084439731448,0.4576856323107208,0.1915882180351065,0.0765941279735799,0.6707326331772745,0.0,0.0,0.0,0.09083730596249995,0.6384301246158797,0.08784986650900767,0.6281632712322074
CalIt2.csv,CalIt2,fixed,20263,94.19639849662781,6.302157402038574,1439752,10,0.2695377659608967,0.4544250669594753,0.1915882180351065,0.07628050262304209,0.6727983044413514,0.0,0.0,0.0,0.09088972805682252,0.6374439923640643,0.08792301325611941,0.6288665131232216
Genesis.csv,Genesis,adaptive,20261,2336.502871274948,537.1028914451599,2722024,10,0.8341642500499917,0.7441432210831525,0.948962868751342,0.22572664957568872,0.7100420235978666,0.15602836879432624,0.12087912087912088,0.22,0.11176434291623599,0.7977864394995697,0.11246868972072822,0.778734957659917
Genesis.csv,Genesis,adaptive,20262,2847.007710456848,695.7934560775757,2722024,10,0.8341642500499917,0.7441432210831525,0.948962868751342,0.22555286859825396,0.7100420235978665,0.15602836879432624,0.12087912087912088,0.22,0.11176581786563247,0.7978185633529216,0.11246998188097085,0.7787665224798431
Genesis.csv,Genesis,causal_catch,20261,318.64281249046326,50.696348667144775,2722024,10,0.8341642500499917,0.7441432210831525,0.948962868751342,0.22558371179233325,0.7100420235978665,0.15602836879432624,0.12087912087912088,0.22,0.11176434291623599,0.7977864394995697,0.11246868972072822,0.778734957659917
Genesis.csv,Genesis,causal_catch,20262,1904.2806117534637,304.2176983356476,2722024,10,0.8341642500499917,0.7441432210831525,0.948962868751342,0.22562459834755144,0.7100420235978666,0.15602836879432624,0.12087912087912088,0.22,0.11176434291623599,0.7977864394995697,0.11246868972072822,0.778734957659917
Genesis.csv,Genesis,causal_catch,20263,1650.7936367988586,372.42021107673645,2722024,10,0.8341642500499917,0.7441432210831525,0.948962868751342,0.22570558823845413,0.7100420235978665,0.15602836879432624,0.12087912087912088,0.22,0.11176434291623599,0.7977864394995697,0.11246868972072822,0.778734957659917
Genesis.csv,Genesis,fixed,20261,1773.5882472991943,610.2037799358368,2722024,10,0.8341642500499917,0.7441432210831525,0.948962868751342,0.2256313778437277,0.7100420235978665,0.15602836879432624,0.12087912087912088,0.22,0.11176484046702954,0.7977972920465753,0.11246912406149742,0.7787455585032066
Genesis.csv,Genesis,fixed,20262,2516.6936724185944,676.7315249443054,2722024,10,0.8341642500499917,0.7441432210831525,0.948962868751342,0.22542326842440571,0.7100420235978665,0.15602836879432624,0.12087912087912088,0.22,0.11176434291623599,0.7977864394995697,0.11246868972072822,0.778734957659917
Genesis.csv,Genesis,fixed,20263,2732.3270292282104,691.4706580638885,2722024,10,0.8341642500499917,0.7441432210831525,0.948962868751342,0.22545972127704964,0.7100420235978664,0.15602836879432624,0.12087912087912088,0.22,0.11176484046702954,0.7977972920465753,0.11246912406149742,0.7787455585032066
