# physical_task	paper_dataset	dataset_file	kind	script_dir
CICIDS	CICIDS	CICIDS.csv	real	CICIDS_script
CalIt2	CalIt2	CalIt2.csv	real	CalIt2_script
SWAT	SWAT	SWAT.csv	real	SWAT_script
Creditcard	Creditcard	Creditcard.csv	real	Creditcard_script
GECCO	GECCO	GECCO.csv	real	GECCO_script
Genesis	Genesis	Genesis.csv	real	Genesis_script
MSL	MSL	MSL.csv	real	MSL_script
NYC	NYC	NYC.csv	real	NYC_script
PSM	PSM	PSM.csv	real	PSM_script
SMD	SMD	SMD.csv	real	SMD_script
SMAP	SMAP	SMAP.csv	real	SMAP_script
ASD_dataset_1	ASD	ASD_dataset_1.csv	real	ASD_dataset_1_script
ASD_dataset_2	ASD	ASD_dataset_2.csv	real	ASD_dataset_2_script
ASD_dataset_3	ASD	ASD_dataset_3.csv	real	ASD_dataset_3_script
ASD_dataset_4	ASD	ASD_dataset_4.csv	real	ASD_dataset_4_script
ASD_dataset_5	ASD	ASD_dataset_5.csv	real	ASD_dataset_5_script
ASD_dataset_6	ASD	ASD_dataset_6.csv	real	ASD_dataset_6_script
ASD_dataset_7	ASD	ASD_dataset_7.csv	real	ASD_dataset_7_script
ASD_dataset_8	ASD	ASD_dataset_8.csv	real	ASD_dataset_8_script
ASD_dataset_9	ASD	ASD_dataset_9.csv	real	ASD_dataset_9_script
ASD_dataset_10	ASD	ASD_dataset_10.csv	real	ASD_dataset_10_script
ASD_dataset_11	ASD	ASD_dataset_11.csv	real	ASD_dataset_11_script
ASD_dataset_12	ASD	ASD_dataset_12.csv	real	ASD_dataset_12_script
synthetic_con0.0494	con	synthetic_con0.0494.csv	synthetic	synthetic_con0.0494_script
synthetic_con0.072	con	synthetic_con0.072.csv	synthetic	synthetic_con0.072_script
synthetic_glo0.048	glo	synthetic_glo0.048.csv	synthetic	synthetic_glo0.048_script
synthetic_glo0.0718	glo	synthetic_glo0.0718.csv	synthetic	synthetic_glo0.0718_script
synthetic_sea0.0482	sea	synthetic_sea0.0482.csv	synthetic	synthetic_sea0.0482_script
synthetic_sea0.0774	sea	synthetic_sea0.0774.csv	synthetic	synthetic_sea0.0774_script
synthetic_sha0.049	sha	synthetic_sha0.049.csv	synthetic	synthetic_sha0.049_script
synthetic_sha0.0742	sha	synthetic_sha0.0742.csv	synthetic	synthetic_sha0.0742_script
synthetic_sub_mix0.0574	sub_mix	synthetic_sub_mix0.0574.csv	synthetic	synthetic_sub_mix0.0574_script
synthetic_sub_mix0.089	sub_mix	synthetic_sub_mix0.089.csv	synthetic	synthetic_sub_mix0.089_script
synthetic_tre0.0482	tre	synthetic_tre0.0482.csv	synthetic	synthetic_tre0.0482_script
synthetic_tre0.0778	tre	synthetic_tre0.0778.csv	synthetic	synthetic_tre0.0778_script
