model,MetroPT3,HAI21,SMD
PatternAD,0.835443689488 / 0.323440252829 / 0.945948020226,0.824452511994 / 0.162638112005 / 0.865456535957,
PatternAD_raw,0.835799248444 / 0.324666722363 / 0.945723614267,0.835602406756 / 0.16600654653 / 0.873909145984,
PCA,0.841283655582 / 0.321187619518 / 0.917137505418,0.851084834901 / 0.288272851435 / 0.808568217338,0.872915029313 / 0.333768307005 / 0.774410107445
IsolationForest,0.784191761158 / 0.333092519778 / 0.941277623997,0.70012042848 / 0.121403633821 / 0.734954936071,0.762806297175 / 0.220528189009 / 0.780114781463
LOF,0.758625604492 / 0.049858758602 / 0.726480781606,0.802914409688 / 0.187779051493 / 0.727763482854,0.803042058288 / 0.245581493399 / 0.710494826443
OCSVM,0.892138863246 / 0.5211556335 / 0.961115940355,nan / 0.316184260595 / 0.729929393742,0.878231216668 / 0.379357535317 / 0.78077556422
USAD,,,
OmniAnomaly,,,
DAGMM,,,
TranAD,,,
AnomalyTransformer,,,
GDN,,,
MTAD-GAT,,,
InterFusion,,,
DADA,,,
UniTS,,,
Timer,,,
LMixer,,,
DLinear,,,
PatchTST,,,
iTransformer,,,
TimesNet,,,
