baseline,dataset,Aff-F,V-PR,V-ROC
PCA,MetroPT3,0.841283655582,0.321187619518,0.917137505418
PCA,HAI21,0.851084834901,0.288272851435,0.808568217338
PCA,SMD,0.872915029313,0.333768307005,0.774410107445
IsolationForest,MetroPT3,0.784191761158,0.333092519778,0.941277623997
IsolationForest,HAI21,0.70012042848,0.121403633821,0.734954936071
IsolationForest,SMD,0.762806297175,0.220528189009,0.780114781463
LOF,MetroPT3,0.758625604492,0.049858758602,0.726480781606
LOF,HAI21,0.802914409688,0.187779051493,0.727763482854
LOF,SMD,0.803042058288,0.245581493399,0.710494826443
OCSVM,MetroPT3,0.892138863246,0.5211556335,0.961115940355
OCSVM,HAI21,nan,0.316184260595,0.729929393742
OCSVM,SMD,0.878231216668,0.379357535317,0.78077556422
TranAD,MetroPT3,0.818339802264,0.325437411296,0.951903159874
